Tab,Competitors & Pricing,,,,
Brand,Hero SKU,MSRP (USD),Materials/Notes,Drop Cadence
Senreve,Maestra Mini,895,"Italian pebbled leather, convertible",Monthly color drops
Cuyana,Double Loop Bag,348,"Italian leather, minimal hardware",Seasonal refresh
Polène,Numéro Dix,540,"French calfskin, sculpted",Monthly limited colors
Parker Clay,Miramar Backpack,948,"Ethiopian leather, social impact",Quarterly capsule
Freja,Paloma Tote,898,"Apple leather option",Biannual limited runs

Tab,Marketing Snapshot,,,,
Brand,Platform,Creative Angle,Offer/CTA,Link
Senreve,Instagram,"Soft luxury, women founders",Waitlist CTA,https://www.instagram.com/senreve
Cuyana,Meta Ads,"Capsule wardrobe","Shop the drop",https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=ALL&view_all_page_id=165918970118959
Polène,Instagram,"Parisian minimalism",Shop now,https://www.instagram.com/polene_paris
Parker Clay,Meta Ads,"Ethical production impact",Shop collection,https://www.facebook.com/ads/library/?id=park
Freja,Instagram,"Vegan alternative",Shop limited run,https://www.instagram.com/shopfreja

Tab,Ads + Sourcing Notes,,,,
Brand,Ad Library Link,Creative Highlights,Supplier Lead,Notes
Senreve,https://www.facebook.com/ads/library/?id=senreve,"Lifestyle + product detail",TBD,"Need MOQ & lead time"
Cuyana,https://www.facebook.com/ads/library/?id=cuyana,"Motion graphics",TBD,"Confirm Italian workshop"
Polène,https://www.facebook.com/ads/library/?id=polene,"Editorial short films",TBD,"Sourcing rumored Spain"
Parker Clay,https://www.facebook.com/ads/library/?id=parkerclay,"Impact storytelling",TBD,"Ethiopia factory direct"
Freja,https://www.facebook.com/ads/library/?id=freja,"Studio stills",TBD,"NYC design — verify production"
